ncbiID	fullName	rank	parentID
92000127	Acinetobacter baumannii 1526966	norank	470
92000128	Acinetobacter baumannii 1533268	norank	470
92000129	Acinetobacter baumannii 1539026	norank	470
92000130	Acinetobacter baumannii 1546444	norank	470
92000131	Acinetobacter baumannii 1552389	norank	470
92000132	Acinetobacter baumannii 1552818	norank	470
92000133	Acinetobacter baumannii 1552865	norank	470
92000134	Acinetobacter baumannii 1571545	norank	470
92000135	Acinetobacter baumannii 1575710	norank	470
92000136	Acinetobacter baumannii 1593273	norank	470
92000137	Acinetobacter baumannii 1598530	norank	470
92000138	Acinetobacter baumannii 15A34	norank	470
92000139	Acinetobacter baumannii 15A5	norank	470
92000140	Acinetobacter baumannii 1605	norank	470
92000141	Acinetobacter baumannii 161/07	norank	470
92000142	Acinetobacter baumannii 16553_1	norank	470
92000143	Acinetobacter baumannii 16553_10	norank	470
92000144	Acinetobacter baumannii 16553_2	norank	470
92000145	Acinetobacter baumannii 16553_3	norank	470
92000146	Acinetobacter baumannii 16553_4	norank	470
92000147	Acinetobacter baumannii 16553_6	norank	470
92000148	Acinetobacter baumannii 16553_8	norank	470
92000149	Acinetobacter baumannii 16553_9	norank	470
92000150	Acinetobacter baumannii 1656-2	norank	470
92000151	Acinetobacter baumannii 17534	norank	470
92000152	Acinetobacter baumannii 18689	norank	470
92000153	Acinetobacter baumannii 192/2C	norank	470
92000154	Acinetobacter baumannii 1999BJAB11	norank	470
92000155	Acinetobacter baumannii 2003BJAB12	norank	470
92000156	Acinetobacter baumannii 2004BJAB10	norank	470
92000157	Acinetobacter baumannii 2004BJAB13	norank	470
92000158	Acinetobacter baumannii 2004BJAB14	norank	470
92000159	Acinetobacter baumannii 2004ZJAB5	norank	470
92000160	Acinetobacter baumannii 2004ZJAB6	norank	470
92000161	Acinetobacter baumannii 2005JSAB1	norank	470
92000162	Acinetobacter baumannii 2005LNAB4	norank	470
92000163	Acinetobacter baumannii 2011BJAB1	norank	470
92000164	Acinetobacter baumannii 2011BJAB2	norank	470
92000165	Acinetobacter baumannii 2011BJAB3	norank	470
92000166	Acinetobacter baumannii 2011BJAB4	norank	470
92000167	Acinetobacter baumannii 2011BJAB5	norank	470
92000168	Acinetobacter baumannii 2011BJAB6	norank	470
92000169	Acinetobacter baumannii 2011BJAB7	norank	470
92000170	Acinetobacter baumannii 2011BJAB8	norank	470
92000171	Acinetobacter baumannii 2011BJAB9	norank	470
92000172	Acinetobacter baumannii 2011GDAB1	norank	470
92000173	Acinetobacter baumannii 2011GDAB2	norank	470
92000174	Acinetobacter baumannii 2011GDAB3	norank	470
92000175	Acinetobacter baumannii 2011GDAB4	norank	470
92000176	Acinetobacter baumannii 2011HNAB1	norank	470
92000177	Acinetobacter baumannii 2011LNAB1	norank	470
92000178	Acinetobacter baumannii 2011LNAB2	norank	470
92000179	Acinetobacter baumannii 2011LNAB3	norank	470
