abbrName	ncbiID	fullName	strain	forma	subspecies	varietas	species	speciessubgroup	norank_1897064	norank_232080	norank_254878	species group	speciesgroup	subgenus	genus	norank_34035	subtribe	norank_1535325	norank_1593277	norank_33084	norank_1113537	norank_1142503	norank_29197	norank_118884	tribe	norank_555406	norank_1648033	norank_1648038	subfamily	norank_319095	norank_359160	norank_147370	family	norank_469895	superfamily	norank_5863	norank_1924738	norank_75981	norank_337687	norank_5738	norank_207245	norank_104431	norank_43741	norank_37567	norank_43738	parvorder	norank_480117	norank_480118	infraorder	suborder	norank_7400	order	norank_142796	norank_159987	norank_355688	norank_1521260	norank_9263	norank_314147	norank_91561	norank_91835	norank_117569	norank_33850	norank_33846	norank_136419	norank_91836	norank_1549675	norank_33682	norank_1489922	norank_91888	norank_4734	norank_85604	superorder	norank_554915	norank_1476529	norank_543769	norank_1437010	norank_1489908	cohort	norank_186626	norank_9347	norank_1489872	norank_32519	norank_32525	norank_123369	norank_186634	norank_123368	norank_123367	norank_123366	norank_123365	norank_1489388	norank_186625	norank_1489341	infraclass	subclass	norank_1520881	norank_1437201	norank_7496	norank_1437197	norank_91827	norank_85512	class	norank_1280412	norank_71240	norank_42461	norank_715962	norank_715989	norank_3152	norank_2763	norank_404260	superclass	norank_436492	norank_1437183	norank_716546	norank_3208	norank_436491	norank_3398	norank_436489	norank_58024	norank_436486	norank_78536	norank_58023	norank_8492	norank_3193	norank_1329799	norank_131221	norank_32561	norank_8457	norank_32524	norank_32523	norank_1338369	norank_8287	norank_117571	norank_117570	norank_5878	norank_7776	norank_7742	subphylum	norank_1783275	norank_1798711	norank_68336	norank_1783257	norank_1783272	norank_716545	norank_1783270	norank_197562	norank_197563	phylum	norank_33634	norank_33630	norank_33511	norank_1206795	subkingdom	norank_88770	norank_1206794	norank_33317	norank_33213	norank_6072	kingdom	norank_33154	superkingdom	norank_131567	no rank	root
ncbi1219	1219	Prochlorococcus marinus	1219	1219	1219	1219	1219	1219	1219	1219	1219	1219	1219	1219	1218	1218	1218	1218	1218	1218	1218	1218	1218	1218	1218	1218	1218	1218	1218	1218	1218	1218	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1213	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1798711	1798711	1798711	1783272	1783272	1783272	1783272	1783272	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	2	131567	131567	1
ncbi1288291	1288291	Anncaliia algerae PRA339	1288291	1288291	1288291	1288291	723287	723287	723287	723287	723287	723287	723287	723287	311453	311453	311453	311453	311453	311453	311453	311453	311453	311453	311453	311453	311453	311453	311453	311453	311453	311453	307623	307623	307623	307623	307623	307623	307623	307623	307623	307623	307623	307623	307623	307623	307623	307623	307623	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6032	6029	6029	6029	6029	6029	6029	6029	6029	6029	6029	6029	4751	33154	2759	131567	131567	1
ncbi132908	132908	Pteropus vampyrus	132908	132908	132908	132908	132908	132908	132908	132908	132908	132908	132908	132908	9401	9401	9401	9401	9401	9401	9401	9401	9401	9401	9401	9401	9401	9401	77225	77225	77225	77225	9398	9398	9398	9398	9398	9398	9398	9398	9398	9398	9398	9398	9398	9398	9398	9398	9398	30559	30559	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	9397	314145	314145	314145	314145	1437010	1437010	1437010	1437010	9347	9347	9347	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32523	1338369	8287	117571	117570	117570	7776	7742	89593	89593	89593	89593	89593	89593	89593	89593	89593	89593	7711	7711	7711	33511	33511	33511	33511	33511	33511	33213	6072	33208	33154	2759	131567	131567	1
ncbi13563	13563	Heterobasidion annosum	13563	13563	13563	13563	13563	13563	13563	13563	13563	13563	13563	13563	13562	13562	13562	13562	13562	13562	13562	13562	13562	13562	13562	13562	13562	13562	13562	13562	13562	13562	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	40420	452342	452342	452342	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	5302	5302	5302	5302	5302	5302	5302	5302	5302	5302	5204	5204	5204	5204	5204	451864	451864	451864	451864	451864	451864	4751	33154	2759	131567	131567	1
ncbi13616	13616	Monodelphis domestica	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	126287	126287	126287	126287	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	38605	38605	38605	38605	38605	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32523	1338369	8287	117571	117570	117570	7776	7742	89593	89593	89593	89593	89593	89593	89593	89593	89593	89593	7711	7711	7711	33511	33511	33511	33511	33511	33511	33213	6072	33208	33154	2759	131567	131567	1
ncbi13735	13735	Pelodiscus sinensis	13735	13735	13735	13735	13735	13735	13735	13735	13735	13735	13735	13735	204969	204969	204969	204969	204969	204969	204969	204969	204969	204969	204969	204969	204969	204969	204969	204969	204969	204969	34907	34907	34907	34907	34907	34907	34907	34907	34907	34907	34907	34907	34907	34907	34907	34907	34907	8464	8464	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	8459	1329799	1329799	32561	8457	32524	32523	1338369	8287	117571	117570	117570	7776	7742	89593	89593	89593	89593	89593	89593	89593	89593	89593	89593	7711	7711	7711	33511	33511	33511	33511	33511	33511	33213	6072	33208	33154	2759	131567	131567	1
ncbi146786	146786	Thermosynechococcus elongatus	146786	146786	146786	146786	146786	146786	146786	146786	146786	146786	146786	146786	146785	146785	146785	146785	146785	146785	146785	146785	146785	146785	146785	146785	146785	146785	146785	146785	146785	146785	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890426	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1798711	1798711	1798711	1783272	1783272	1783272	1783272	1783272	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	2	131567	131567	1
ncbi148305	148305	Magnaporthe grisea	148305	148305	148305	148305	148305	148305	148305	148305	148305	148305	148305	148305	148303	148303	148303	148303	148303	148303	148303	148303	148303	148303	148303	148303	148303	148303	148303	148303	148303	148303	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	81093	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	639021	222544	222544	222544	222544	222544	222544	222544	147550	147550	147550	147550	147550	715989	715989	715989	715989	715989	715989	715989	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	147538	147538	147538	147538	147538	147538	716545	716545	716545	716545	4890	4890	4890	4890	4890	451864	451864	451864	451864	451864	451864	4751	33154	2759	131567	131567	1
ncbi15368	15368	Brachypodium distachyon	15368	15368	15368	15368	15368	15368	15368	15368	15368	15368	15368	15368	15367	15367	15367	15367	15367	15367	15367	15367	15367	15367	147385	147385	147385	147385	147368	147368	359160	359160	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	4479	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	38820	4734	4734	4734	4734	1437197	1437197	1437197	4447	4447	4447	4447	4447	4447	4447	4447	4447	4447	4447	1437183	1437183	1437183	1437183	3398	3398	58024	58024	78536	58023	58023	3193	3193	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	131221	35493	35493	35493	35493	35493	35493	35493	35493	35493	35493	35493	33090	33090	2759	131567	131567	1
ncbi159087	159087	Dechloromonas aromatica RCB	159087	159087	159087	159087	259537	259537	259537	259537	259537	259537	259537	259537	73029	73029	73029	73029	73029	73029	73029	73029	73029	73029	73029	73029	73029	73029	73029	73029	73029	73029	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	75787	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	206389	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	2	131567	131567	1
