Anopheles_gambiae	7165
Culex_quinquefasciatus	7176
Loa_loa	7209
Drosophila_melanogaster	7227
Nasonia_vitripennis	7425
Apis_mellifera	7460
Aspergillus_fumigatus	746128
Strongylocentrotus_purpuratus	7668
Caldivirga_maquilingensis	76887
Ciona_intestinalis	7719
Branchiostoma_floridae	7739
Latimeria_chalumnae	7897
Lepisosteus_oculatus	7918
Danio_rerio	7955
Gadus_morhua	8049
Oryzias_latipes	8090
Monosiga_brevicollis	81824
Xenopus_tropicalis	8364
Haemophilus_influenzae_10810	862964
Encephalitozoon_intestinalis_ATCC_50506	876142
Selaginella_moellendorffii	88036
Gallus_gallus	9031
Ornithorhynchus_anatinus	9258
Sarcophilus_harrisii	9305
Macropus_eugenii	9315
Choloepus_hoffmanni	9358
Erinaceus_europaeus	9365
Echinops_telfairi	9371
Callithrix_jacchus	9483
Macaca_mulatta	9544
Gorilla_gorilla	9593
Pan_troglodytes	9598
Pongo_pygmaeus	9600
Homo_sapiens	9606
Canis_lupus_familiaris	9615
Ailuropoda_melanoleuca	9646
Mustela_putorius_furo	9669
Felis_catus	9685
Tursiops_truncatus	9739
Curvularia_lunata_m118	977863
Loxodonta_africana	9785
Equus_caballus	9796
Procavia_capensis	9813
Sus_scrofa	9823
Bos_taurus	9913
Vittaforma_corneae_ATCC_50505	993615
Ochotona_princeps	9978
Oryctolagus_cuniculus	9986
Tetraodon_nigroviridis	99883
