abbrName	ncbiID	fullName	strain	forma	subspecies	species	species subgroup	species group	subgenus	genus	norank_1535325	norank_1593277	subtribe	norank_34035	norank_1113537	norank_118884	tribe	norank_2233855	norank_1648033	norank_2231382	norank_2231393	subfamily	norank_555406	norank_359160	norank_147370	norank_43741	family	norank_43738	superfamily	norank_5863	norank_337687	norank_480117	parvorder	norank_480118	infraorder	suborder	order	norank_159987	norank_33083	norank_355688	norank_314147	norank_33850	norank_9263	norank_91561	norank_91836	norank_91835	norank_1549675	norank_1489922	norank_33682	norank_91888	norank_4734	superorder	norank_142796	norank_554915	norank_1437010	norank_1489872	cohort	norank_9347	norank_123369	norank_32525	norank_123368	norank_123367	norank_123366	norank_123365	norank_1489388	norank_186625	norank_1489341	infraclass	subclass	norank_1520881	norank_1437201	norank_85512	class	norank_3152	norank_91827	norank_715962	norank_715989	norank_71240	norank_436492	norank_716546	norank_1437183	norank_436491	norank_3398	norank_436489	norank_58024	norank_436486	norank_78536	norank_8492	norank_58023	norank_1329799	norank_32561	norank_3193	norank_8457	norank_1783257	norank_32524	norank_32523	norank_1338369	superclass	norank_117571	norank_117570	norank_7776	norank_7742	subphylum	norank_716545	norank_5878	norank_197562	norank_112252	norank_68336	norank_1206795	norank_197563	phylum	norank_1783275	norank_33634	norank_33630	norank_1783270	norank_1798711	norank_33511	subkingdom	norank_88770	norank_1206794	norank_1783272	norank_33317	norank_33213	norank_6072	kingdom	norank_33154	superkingdom	root
ncbi5037	5037	Histoplasma capsulatum	5037	5037	5037	5037	5037	5037	5037	5036	5036	5036	5036	5036	5036	5036	5036	5036	5036	5036	5036	5036	5036	5036	5036	5036	299071	299071	299071	299071	299071	299071	299071	299071	299071	299071	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	451871	451871	451871	451871	147545	147545	147545	147545	147545	147545	147545	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	147538	716545	716545	716545	716545	716545	716545	716545	4890	4890	4890	4890	4890	4890	4890	451864	451864	451864	451864	451864	451864	451864	4751	33154	2759	1
ncbi5039	5039	Blastomyces dermatitidis	5039	5039	5039	5039	5039	5039	5039	229219	229219	229219	229219	229219	229219	229219	229219	229219	229219	229219	229219	229219	229219	229219	229219	229219	299071	299071	299071	299071	299071	299071	299071	299071	299071	299071	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	33183	451871	451871	451871	451871	147545	147545	147545	147545	147545	147545	147545	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	147538	716545	716545	716545	716545	716545	716545	716545	4890	4890	4890	4890	4890	4890	4890	451864	451864	451864	451864	451864	451864	451864	4751	33154	2759	1
ncbi29001	29001	Alternaria brassicicola	29001	29001	29001	29001	29001	29001	29001	5598	5598	5598	5598	5598	5598	5598	5598	5598	5598	5598	5598	5598	5598	5598	5598	5598	28556	28556	28556	28556	28556	28556	28556	28556	28556	715340	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	92860	451868	451868	451868	451868	147541	147541	147541	715962	715962	715962	715962	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	147538	716545	716545	716545	716545	716545	716545	716545	4890	4890	4890	4890	4890	4890	4890	451864	451864	451864	451864	451864	451864	451864	4751	33154	2759	1
ncbi13333	13333	Amborella trichopoda	13333	13333	13333	13333	13333	13333	13333	13332	13332	13332	13332	13332	13332	13332	13332	13332	13332	13332	13332	13332	13332	13332	13332	13332	22097	22097	22097	22097	22097	22097	22097	22097	22097	22097	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	261009	3398	3398	58024	58024	78536	78536	58023	58023	58023	3193	3193	3193	3193	3193	3193	3193	3193	3193	3193	3193	131221	131221	131221	131221	131221	131221	131221	131221	35493	35493	35493	35493	35493	35493	35493	35493	35493	35493	35493	35493	35493	35493	33090	33090	2759	1
ncbi400682	400682	Amphimedon queenslandica	400682	400682	400682	400682	400682	400682	400682	178513	178513	178513	178513	178513	178513	178513	178513	178513	178513	178513	178513	178513	178513	178513	178513	178513	178475	178475	178475	178475	178475	178475	178475	178475	178475	178475	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	6049	1779146	1779146	1779146	1779146	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6042	6040	6040	6040	6040	6040	6040	6040	6040	6040	6040	6040	6040	6040	6040	33208	33154	2759	1
ncbi8839	8839	Anas platyrhynchos	8839	8839	8839	8839	8839	8839	8839	8835	8835	8835	8835	8835	8835	8835	8835	8835	8835	8835	8835	2068716	2068716	2068716	2068716	2068716	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830	8826	8826	8826	8826	8826	8826	8826	8826	8826	8826	1549675	1549675	1549675	1549675	1549675	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8825	8782	8782	8782	8782	8782	8782	436492	436492	436492	436491	436491	436489	436489	436486	436486	8492	8492	1329799	32561	32561	8457	8457	32524	32523	1338369	8287	117571	117570	7776	7742	89593	89593	89593	89593	89593	89593	89593	89593	7711	7711	7711	7711	7711	7711	33511	33511	33511	33511	33511	33511	33213	6072	33208	33154	2759	1
ncbi240292	240292	Trichormus variabilis ATCC 29413	240292	240292	240292	264691	264691	264691	264691	264688	264688	264688	264688	264688	264688	264688	264688	264688	264688	264688	264688	264688	264688	264688	264688	264688	1162	1162	1162	1162	1162	1162	1162	1162	1162	1162	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1161	1117	1117	1117	1117	1117	1798711	1798711	1798711	1798711	1798711	1783272	1783272	1783272	1783272	1783272	1783272	2	1
ncbi29170	29170	Ancylostoma caninum	29170	29170	29170	29170	29170	29170	29170	29169	29169	29169	29169	29169	29169	29169	29169	29169	29169	29169	29169	53469	53469	53469	53469	53469	33278	33278	33277	33277	33277	33277	33277	33277	33277	6308	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	6231	6231	6231	6231	6231	6231	6231	6231	6231	1206794	1206794	33317	33213	6072	33208	33154	2759	1
ncbi53326	53326	Ancylostoma ceylanicum	53326	53326	53326	53326	53326	53326	53326	29169	29169	29169	29169	29169	29169	29169	29169	29169	29169	29169	29169	53469	53469	53469	53469	53469	33278	33278	33277	33277	33277	33277	33277	33277	33277	6308	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	6231	6231	6231	6231	6231	6231	6231	6231	6231	1206794	1206794	33317	33213	6072	33208	33154	2759	1
ncbi51022	51022	Ancylostoma duodenale	51022	51022	51022	51022	51022	51022	51022	29169	29169	29169	29169	29169	29169	29169	29169	29169	29169	29169	29169	53469	53469	53469	53469	53469	33278	33278	33277	33277	33277	33277	33277	33277	33277	6308	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	6236	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	6231	6231	6231	6231	6231	6231	6231	6231	6231	1206794	1206794	33317	33213	6072	33208	33154	2759	1
